Loading files... 
  Starting yago3_mte10-train.tsv
  Finished yago3_mte10-train.tsv, still running: 0
Loaded 1087040 facts in 10.96 s using 345 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?a  <isAffiliatedTo>  ?b   => ?a  <playsFor>  ?b	0.87495247	0.751775668	0.831691169	283027	376478	340303	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	0.033543755	0.201937407	0.311733129	813	4026	2608	?a	0.0	0.0	0.0
?e  <hasWonPrize>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <hasWonPrize>  ?b	0.021042208	0.166612218	0.307971014	510	3061	1656	?a	0.0	0.0	0.0
?e  <hasWonPrize>  ?b  ?e  <influences>  ?a   => ?a  <hasWonPrize>  ?b	0.02417791	0.088014419	0.177468201	586	6658	3302	?a	0.0	0.0	0.0
?e  <hasAcademicAdvisor>  ?a  ?e  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	0.012790362	0.2014295	0.258333333	310	1539	1200	?a	0.0	0.0	0.0
?a  <diedIn>  ?f  ?b  <hasCapital>  ?f   => ?a  <isPoliticianOf>  ?b	0.186898763	0.015779703	0.133246244	408	25856	3062	?a	0.0	0.0	0.0
?b  <hasCapital>  ?f  ?a  <livesIn>  ?f   => ?a  <isPoliticianOf>  ?b	0.041227668	0.04174397	0.223325062	90	2156	403	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.338983051	0.041417138	0.203632361	740	17867	3634	?a	0.0	0.0	0.0
?b  <hasCapital>  ?f  ?a  <wasBornIn>  ?f   => ?a  <isPoliticianOf>  ?b	0.167659185	0.004719232	0.13795703	366	77555	2653	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.427393495	0.723255814	0.874414246	933	1290	1067	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.056802565	0.534482759	0.832214765	124	232	149	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <isLeaderOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.049015117	0.211462451	0.393382353	107	506	272	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.014200641	0.079896907	0.139013453	31	388	223	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <wasBornIn>  ?f   => ?a  <isPoliticianOf>  ?b	0.451213926	0.006437235	0.258326777	985	153016	3813	?a	0.0	0.0	0.0
?a  <isLeaderOf>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.029775538	0.039585871	0.144124169	65	1642	451	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f   => ?a  <isPoliticianOf>  ?b	0.113605131	0.034311013	0.259685864	248	7228	955	?a	0.0	0.0	0.0
?a  <isMarriedTo>  ?f  ?f  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.029775538	0.382352941	0.878378378	65	170	74	?a	0.0	0.0	0.0
?a  <created>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.01145213	0.005845219	0.265957447	25	4277	94	?a	0.0	0.0	0.0
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.270728355	0.017251445	0.230140187	591	34258	2568	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <isLeaderOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.021530005	0.129834254	0.258241758	47	362	182	?a	0.0	0.0	0.0
?e  <isMarriedTo>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.029775538	0.386904762	0.878378378	65	168	74	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <livesIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.014658727	0.098159509	0.156097561	32	326	205	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.452588181	0.759415834	0.894117647	988	1301	1105	?a	0.0	0.0	0.0
?a  <isAffiliatedTo>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isPoliticianOf>  ?b	0.247824095	0.003043481	0.215795772	541	177757	2507	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isPoliticianOf>  ?b	0.065506184	0.565217391	0.785714286	143	253	182	?a	0.0	0.0	0.0
?a  <diedIn>  ?f  ?b  <hasCapital>  ?f   => ?a  <isCitizenOf>  ?b	0.1216916	0.016359839	0.109104978	423	25856	3877	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <worksAt>  ?f   => ?a  <isCitizenOf>  ?b	0.192174914	0.089066667	0.143625027	668	7500	4651	?a	0.0	0.0	0.0
?b  <hasCapital>  ?f  ?a  <wasBornIn>  ?f   => ?a  <isCitizenOf>  ?b	0.127733026	0.005724969	0.10251674	444	77555	4331	?a	0.0	0.0	0.0
?a  <diedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.278193326	0.028226983	0.219373866	967	34258	4408	?a	0.0	0.0	0.0
?a  <graduatedFrom>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.380897583	0.074103095	0.194906521	1324	17867	6793	?a	0.0	0.0	0.0
?a  <hasAcademicAdvisor>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.078250863	0.365591398	0.537549407	272	744	506	?a	0.0	0.0	0.0
?a  <hasAcademicAdvisor>  ?f  ?f  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.029344074	0.252475248	0.38490566	102	404	265	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <livesIn>  ?f   => ?a  <isCitizenOf>  ?b	0.104142693	0.050083011	0.140147116	362	7228	2583	?a	0.0	0.0	0.0
?a  <isLeaderOf>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.013521289	0.02862363	0.223809524	47	1642	210	?a	0.0	0.0	0.0
?f  <isLocatedIn>  ?b  ?a  <wasBornIn>  ?f   => ?a  <isCitizenOf>  ?b	0.495397008	0.011253725	0.219614845	1722	153016	7841	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <isPoliticianOf>  ?b   => ?a  <isCitizenOf>  ?b	0.034810127	0.09379845	0.796052632	121	1290	152	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.023878021	0.357758621	0.922222222	83	232	90	?a	0.0	0.0	0.0
?a  <influences>  ?f  ?f  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.064441887	0.115345005	0.395061728	224	1942	567	?a	0.0	0.0	0.0
?a  <created>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.042289988	0.034369885	0.360294118	147	4277	408	?a	0.0	0.0	0.0
?a  <directed>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.011795167	0.015928516	0.5125	41	2574	80	?a	0.0	0.0	0.0
?e  <hasAcademicAdvisor>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.058688147	0.334975369	0.489208633	204	609	417	?a	0.0	0.0	0.0
?e  <hasAcademicAdvisor>  ?a  ?e  <livesIn>  ?b   => ?a  <isCitizenOf>  ?b	0.025028769	0.249283668	0.364016736	87	349	239	?a	0.0	0.0	0.0
?a  <actedIn>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.032796318	0.010026385	0.371335505	114	11370	307	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <isPoliticianOf>  ?b   => ?a  <isCitizenOf>  ?b	0.030494822	0.081475788	0.841269841	106	1301	126	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.023878021	0.328063241	0.912087912	83	253	91	?a	0.0	0.0	0.0
?e  <influences>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	0.07853855	0.133627019	0.362549801	273	2043	753	?a	0.0	0.0	0.0
?a  <isAffiliatedTo>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0.063003452	0.001232019	0.140025575	219	177757	1564	?a	0.0	0.0	0.0
?a  <hasAcademicAdvisor>  ?f  ?f  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.050395546	0.123032904	0.174442191	172	1398	986	?a	0.0	0.0	0.0
?f  <graduatedFrom>  ?b  ?a  <hasAcademicAdvisor>  ?f   => ?a  <worksAt>  ?b	0.031643715	0.086261981	0.132678133	108	1252	814	?a	0.0	0.0	0.0
?f  <graduatedFrom>  ?b  ?a  <influences>  ?f   => ?a  <worksAt>  ?b	0.017872839	0.017665798	0.108928571	61	3453	560	?a	0.0	0.0	0.0
?e  <graduatedFrom>  ?b  ?e  <hasAcademicAdvisor>  ?a   => ?a  <worksAt>  ?b	0.080867272	0.245115453	0.369477912	276	1126	747	?a	0.0	0.0	0.0
?e  <hasAcademicAdvisor>  ?a  ?e  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.045707589	0.113372093	0.160824742	156	1376	970	?a	0.0	0.0	0.0
?e  <influences>  ?a  ?e  <worksAt>  ?b   => ?a  <worksAt>  ?b	0.017872839	0.049877351	0.108928571	61	1223	560	?a	0.0	0.0	0.0
?a  <hasChild>  ?b  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0.016094987	1	1	61	61	61	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?b  <hasChild>  ?f   => ?a  <isMarriedTo>  ?b	0.237994723	0.107598712	0.238687483	902	8383	3779	?a	0.0	0.0	0.0
?a  <playsFor>  ?b   => ?a  <isAffiliatedTo>  ?b	0.751775668	0.87495247	0.95304592	283027	323477	296971	?a	0.0	0.0	0.0
countPairs vars ?a, ?b in ?b <isAffiliatedTo> ?f  ?a <isAffiliatedTo> ?f   has taken 23984 ms
?a  <hasNeighbor>  ?f  ?f  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0.123504438	0.170303353	0.170303353	640	3758	3758	?b	0.0	0.0	0.0
?e  <dealsWith>  ?a  ?e  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0.177730606	0.163413769	0.163413769	921	5636	5636	?b	0.0	0.0	0.0
?e  <hasNeighbor>  ?a  ?e  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0.123504438	0.16998672	0.16998672	640	3765	3765	?b	0.0	0.0	0.0
?a  <actedIn>  ?b  ?a  <created>  ?b   => ?a  <directed>  ?b	0.039151713	0.454736842	0.546835443	216	475	395	?b	0.0	0.0	0.0
countPairs vars ?a, ?b in ?b <isAffiliatedTo> ?f  ?a <isAffiliatedTo> ?f   has taken 23534 ms
countPairs vars ?a, ?b in ?a <isLocatedIn> ?f  ?b <isLocatedIn> ?f   has taken 54558 ms
?a  <hasAcademicAdvisor>  ?f  ?f  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.052056642	0.276108727	0.302745098	386	1398	1275	?a	0.0	0.0	0.0
?f  <graduatedFrom>  ?b  ?a  <hasAcademicAdvisor>  ?f   => ?a  <graduatedFrom>  ?b	0.032906271	0.194888179	0.214977974	244	1252	1135	?a	0.0	0.0	0.0
?f  <graduatedFrom>  ?b  ?a  <hasChild>  ?f   => ?a  <graduatedFrom>  ?b	0.03587323	0.138110073	0.203831418	266	1926	1305	?a	0.0	0.0	0.0
?e  <graduatedFrom>  ?b  ?e  <hasAcademicAdvisor>  ?a   => ?a  <graduatedFrom>  ?b	0.02440998	0.160746004	0.182643794	181	1126	991	?a	0.0	0.0	0.0
?e  <graduatedFrom>  ?b  ?e  <hasChild>  ?a   => ?a  <graduatedFrom>  ?b	0.035738368	0.139400316	0.19984917	265	1901	1326	?a	0.0	0.0	0.0
?e  <influences>  ?a  ?e  <worksAt>  ?b   => ?a  <graduatedFrom>  ?b	0.011058665	0.067048242	0.101610905	82	1223	807	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <wasBornIn>  ?b   => ?a  <wasBornIn>  ?b	0.010282209	0.150032196	0.202961672	466	3106	2296	?a	0.0	0.0	0.0
?e  <diedIn>  ?b  ?e  <hasChild>  ?a   => ?a  <wasBornIn>  ?b	0.010216015	0.197105151	0.284747847	463	2349	1626	?a	0.0	0.0	0.0
?a  <hasChild>  ?f  ?f  <hasGender>  ?b   => ?a  <hasGender>  ?b	0.033635382	0.67105657	0.698660019	2242	3341	3209	?a	0.0	0.0	0.0
?f  <hasGender>  ?b  ?a  <influences>  ?f   => ?a  <hasGender>  ?b	0.030829933	0.803048066	0.805250784	2055	2559	2552	?a	0.0	0.0	0.0
?a  <hasAcademicAdvisor>  ?f  ?f  <hasGender>  ?b   => ?a  <hasGender>  ?b	0.011566851	0.955390335	0.961346633	771	807	802	?a	0.0	0.0	0.0
?e  <hasChild>  ?a  ?e  <hasGender>  ?b   => ?a  <hasGender>  ?b	0.036770883	0.657457082	0.678947368	2451	3728	3610	?a	0.0	0.0	0.0
?e  <hasGender>  ?b  ?e  <influences>  ?a   => ?a  <hasGender>  ?b	0.037085934	0.847736626	0.851826327	2472	2916	2902	?a	0.0	0.0	0.0
?a  <hasCapital>  ?b  ?b  <isLocatedIn>  ?a   => ?a  <isLocatedIn>  ?b	0.010242117	0.519886364	0.540141677	915	1760	1694	?a	0.0	0.0	0.0
?b  <hasCapital>  ?a  ?b  <isLocatedIn>  ?a   => ?a  <isLocatedIn>  ?b	0.010242117	0.910447761	0.911354582	915	1005	1004	?a	0.0	0.0	0.0
?b  <hasCapital>  ?f  ?a  <isLocatedIn>  ?f   => ?a  <isLocatedIn>  ?b	0.027345893	0.146340002	0.146340002	2443	16694	16694	?a	0.0	0.0	0.0
?a  <hasCapital>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.024413177	0.294769563	0.317421045	2181	7399	6871	?a	0.0	0.0	0.0
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 67471 ms
?f  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?f   => ?a  <isLocatedIn>  ?b	0.391371996	0.231560403	0.231560403	34964	150993	150993	?a	0.0	0.0	0.0
?e  <hasCapital>  ?a  ?e  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.022778916	0.450819672	0.452021324	2035	4514	4502	?a	0.0	0.0	0.0
?e  <isLocatedIn>  ?a  ?e  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0.175839798	0.147158287	0.15930433	15709	106749	98610	?a	0.0	0.0	0.0
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 66836 ms
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 64729 ms
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 66923 ms
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 62994 ms
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 56255 ms
countPairs vars ?a, ?b in ?b <isLocatedIn> ?f  ?a <isLocatedIn> ?f   has taken 50924 ms
countPairs vars ?a, ?b in ?b <hasGender> ?f  ?a <hasGender> ?f   has taken 1282588 ms
countPairs vars ?a, ?b in ?b <hasGender> ?f  ?a <hasGender> ?f   has taken 1288123 ms
countPairs vars ?a, ?b in ?b <hasGender> ?f  ?a <hasGender> ?f   has taken 1311544 ms
countPairs vars ?a, ?b in ?b <hasGender> ?f  ?a <hasGender> ?f   has taken 1294902 ms
countPairs vars ?a, ?b in ?b <hasGender> ?f  ?a <hasGender> ?f   has taken 1288681 ms
Mining done in 27 min, 27 s
Total time 27 min, 38 s
237 rules mined.
